wavelength      spectral_flux_density
um              W/m^2/um
3.825808e-01    5.637334e+08
3.844937e-01    5.918338e+08
3.864162e-01    6.037685e+08
3.883483e-01    6.173014e+08
3.902900e-01    6.949782e+08
3.922415e-01    7.776829e+08
3.942027e-01    7.006090e+08
3.961737e-01    6.359198e+08
3.981546e-01    7.226400e+08
4.001453e-01    8.188415e+08
4.021461e-01    8.617075e+08
4.041568e-01    9.001356e+08
4.061776e-01    7.949357e+08
4.082085e-01    7.050086e+08
4.102495e-01    6.810952e+08
4.123008e-01    6.633878e+08
4.143623e-01    7.495990e+08
4.164341e-01    8.409814e+08
4.185162e-01    8.384217e+08
4.206088e-01    8.354796e+08
4.227119e-01    8.266912e+08
4.248254e-01    8.168920e+08
4.269495e-01    7.921790e+08
4.290843e-01    7.601309e+08
4.312297e-01    6.363782e+08
4.333859e-01    5.443423e+08
4.355528e-01    6.025324e+08
4.377306e-01    6.644345e+08
4.399192e-01    7.023861e+08
4.421188e-01    7.382557e+08
4.443294e-01    7.305140e+08
4.465511e-01    7.229629e+08
4.487838e-01    7.165622e+08
4.510277e-01    7.099425e+08
4.532829e-01    7.008408e+08
4.555493e-01    6.922389e+08
4.578270e-01    6.870915e+08
4.601162e-01    6.819187e+08
4.624167e-01    6.762564e+08
4.647288e-01    6.703831e+08
4.670525e-01    6.625299e+08
4.693877e-01    6.545446e+08
4.717347e-01    6.449815e+08
4.740933e-01    6.352308e+08
4.764638e-01    6.233036e+08
4.788461e-01    6.050223e+08
4.812404e-01    5.450430e+08
4.836466e-01    4.939907e+08
4.860648e-01    4.659776e+08
4.884951e-01    4.499923e+08
4.909376e-01    5.041281e+08
4.933923e-01    5.554855e+08
4.958592e-01    5.534470e+08
4.983385e-01    5.504030e+08
5.008302e-01    5.415385e+08
5.033344e-01    5.334522e+08
5.058511e-01    5.290096e+08
5.083803e-01    5.240023e+08
5.109222e-01    5.158377e+08
5.134768e-01    5.070048e+08
5.160442e-01    4.942767e+08
5.186244e-01    4.835211e+08
5.212175e-01    4.811931e+08
5.238236e-01    4.782073e+08
5.264428e-01    4.720349e+08
5.290750e-01    4.660169e+08
5.317203e-01    4.604212e+08
5.343789e-01    4.549483e+08
5.370508e-01    4.497891e+08
5.397361e-01    4.446206e+08
5.424348e-01    4.392188e+08
5.451469e-01    4.340176e+08
5.478727e-01    4.294431e+08
5.506120e-01    4.246606e+08
5.533651e-01    4.188940e+08
